Datetime,adj close,close,high,low,open,volume,day,session,day_high,day_low,pdh,pdl,asia_high,asia_low,orb_high,orb_low,orb_start,orb_end
2025-07-25 04:05:00+00:00,6418.5,6418.5,6418.5,6418.25,6418.25,0,2025-07-25,ASIA,6431.0,6401.0,,,6419.0,6402.75,6410.5,6402.5,2025-07-25 13:30:00+00:00,2025-07-25 14:00:00+00:00
2025-07-25 04:10:00+00:00,6418.25,6418.25,6418.75,6418.0,6418.75,113,2025-07-25,ASIA,6431.0,6401.0,,,6419.0,6402.75,6410.5,6402.5,2025-07-25 13:30:00+00:00,2025-07-25 14:00:00+00:00
2025-07-25 04:15:00+00:00,6419.0,6419.0,6419.0,6418.25,6418.25,174,2025-07-25,ASIA,6431.0,6401.0,,,6419.0,6402.75,6410.5,6402.5,2025-07-25 13:30:00+00:00,2025-07-25 14:00:00+00:00
2025-07-25 04:20:00+00:00,6418.0,6418.0,6419.0,6417.5,6418.75,529,2025-07-25,ASIA,6431.0,6401.0,,,6419.0,6402.75,6410.5,6402.5,2025-07-25 13:30:00+00:00,2025-07-25 14:00:00+00:00
2025-07-25 04:25:00+00:00,6417.25,6417.25,6418.0,6417.0,6418.0,372,2025-07-25,ASIA,6431.0,6401.0,,,6419.0,6402.75,6410.5,6402.5,2025-07-25 13:30:00+00:00,2025-07-25 14:00:00+00:00
2025-07-25 04:30:00+00:00,6415.75,6415.75,6417.25,6415.25,6417.25,431,2025-07-25,ASIA,6431.0,6401.0,,,6419.0,6402.75,6410.5,6402.5,2025-07-25 13:30:00+00:00,2025-07-25 14:00:00+00:00
2025-07-25 04:35:00+00:00,6414.0,6414.0,6415.75,6413.0,6415.75,545,2025-07-25,ASIA,6431.0,6401.0,,,6419.0,6402.75,6410.5,6402.5,2025-07-25 13:30:00+00:00,2025-07-25 14:00:00+00:00
2025-07-25 04:40:00+00:00,6412.75,6412.75,6413.75,6412.0,6413.75,477,2025-07-25,ASIA,6431.0,6401.0,,,6419.0,6402.75,6410.5,6402.5,2025-07-25 13:30:00+00:00,2025-07-25 14:00:00+00:00
2025-07-25 04:45:00+00:00,6412.0,6412.0,6413.5,6412.0,6412.75,360,2025-07-25,ASIA,6431.0,6401.0,,,6419.0,6402.75,6410.5,6402.5,2025-07-25 13:30:00+00:00,2025-07-25 14:00:00+00:00
2025-07-25 04:50:00+00:00,6411.75,6411.75,6412.5,6411.5,6412.0,226,2025-07-25,ASIA,6431.0,6401.0,,,6419.0,6402.75,6410.5,6402.5,2025-07-25 13:30:00+00:00,2025-07-25 14:00:00+00:00
